id;code;designation;type
1;alarm Extension eco-centric;Unbranded;ENERGIE
2;Automotive dot-com;Steel Direct Team-oriented;ENERGIE
3;human-resource Centralized;scalable Kids frictionless;MAINTENANCE
4;ROI interface;Computer East Caribbean Dollar Anguilla;ENERGIE
5;Electronics convergence Rhode Island;redundant channels;RADIO
6;SAS attitude tan;Fiji e-business;RADIO
7;encoding;upward-trending fresh-thinking;ENERGIE
8;bypass Steel Frozen;backing up;RADIO
9;payment artificial intelligence;capacitor;ENERGIE
10;deposit relationships;withdrawal;FO_IT
